,ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice
44,000503-00-0393,C01,,,,,,,,,,,,,,,
45,000503-00-0394,C01,,,,,,,,,,,,,,,
46,000503-00-0395,C01,C05,C09,C13,C15,C16,C14,C06,C03,,,,,,,
47,000503-00-0412,C01,C02,C13,C11,C16,C15,,,,,,,,,,
48,000503-00-0416,C01,C13,C14,C15,C16,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,
49,000503-00-0423,C01,C12,,,,,,,,,,,,,,
50,000503-00-0424,C01,C12,C13,C05,C16,C04,,,,,,,,,,
51,000503-00-0433,C01,C12,C13,C16,C04,C05,C06,,,,,,,,,
52,000503-00-0445,C01,C02,C11,,,,,,,,,,,,,
53,000503-00-0455,C01,C13,C02,C09,C12,C11,,,,,,,,,,
54,000503-00-0461,C01,C14,C02,C06,C13,,,,,,,,,,,
55,000503-00-0471,C01,C15,C14,C03,,,,,,,,,,,,
56,000503-00-0479,C01,C09,C13,C16,C15,C05,,,,,,,,,,
57,000503-00-0487,C01,,,,,,,,,,,,,,,
58,000503-00-0489,C01,,,,,,,,,,,,,,,
59,000503-00-0490,C01,C13,C10,,,,,,,,,,,,,
60,000503-00-0496,C01,C13,C16,,,,,,,,,,,,,
61,000503-00-0499,C01,,,,,,,,,,,,,,,
62,000503-00-0501,C01,C09,C06,,,,,,,,,,,,,
63,000503-00-0518,C01,C02,C14,,,,,,,,,,,,,
64,000503-00-0524,C01,C06,C13,,,,,,,,,,,,,
65,000503-00-0530,C01,,,,,,,,,,,,,,,
66,000503-00-0535,C01,C15,C09,C06,C05,C12,C16,C08,C04,,,,,,,
67,000503-00-0538,C01,C02,C09,C05,C04,C13,C14,C15,C16,,,,,,,
68,000503-00-0545,C01,,,,,,,,,,,,,,,
69,000503-00-0550,C01,C02,C03,C07,C14,C11,C12,,,,,,,,,
70,000503-00-0553,C01,C05,C02,,,,,,,,,,,,,
71,000503-00-0563,C01,C12,,,,,,,,,,,,,,
72,000503-00-0566,C01,C13,C14,C06,C05,,,,,,,,,,,
73,000503-00-0575,C01,C06,C02,C14,,,,,,,,,,,,
74,000503-00-0581,C01,C11,,,,,,,,,,,,,,
75,000503-00-0582,C01,C05,C12,,,,,,,,,,,,,
76,000503-00-0584,C01,C11,,,,,,,,,,,,,,
77,000503-00-0586,C01,C05,C13,C16,C09,C07,C12,C02,C15,,,,,,,
78,000503-00-0592,C01,C02,C05,,,,,,,,,,,,,
79,000503-00-0595,C01,C13,C03,,,,,,,,,,,,,
80,000503-00-0602,C01,C02,C04,C12,C13,C16,,,,,,,,,,
81,000503-00-0616,C01,C02,C13,C11,C05,C10,,,,,,,,,,
82,000503-00-0624,C01,C13,,,,,,,,,,,,,,
83,000503-00-0630,C01,C06,,,,,,,,,,,,,,
84,000503-00-0652,C01,C05,C12,,,,,,,,,,,,,
85,000503-00-0658,C01,C02,C12,C09,C13,C11,,,,,,,,,,
86,000503-00-0677,C01,C09,C13,C16,,,,,,,,,,,,
87,000503-00-0684,C01,,,,,,,,,,,,,,,
88,000503-00-0687,C01,C02,C13,,,,,,,,,,,,,
89,000503-00-0691,C01,C13,C12,C04,C09,C16,C07,C05,C06,C15,,,,,,
90,000503-00-0693,C01,C13,C12,C04,C09,C16,C07,C05,C06,C15,C02,C11,,,,
91,000503-00-0700,C01,C13,C02,C03,C06,C16,,,,,,,,,,
92,000503-00-0718,C01,C09,C12,C16,,,,,,,,,,,,
93,000503-00-0719,C01,C13,C11,C15,C06,C02,,,,,,,,,,
94,000503-00-0723,C01,C13,C02,C07,,,,,,,,,,,,
95,000503-00-0736,C01,C12,C02,,,,,,,,,,,,,
96,000503-00-0739,C01,,,,,,,,,,,,,,,
97,000503-00-0744,C01,C13,,,,,,,,,,,,,,
98,000503-00-0747,C01,C12,C13,C04,C06,C05,,,,,,,,,,
99,000503-00-0752,C01,C13,C05,C12,C09,,,,,,,,,,,
100,000503-00-0753,C01,C13,,,,,,,,,,,,,,
101,000503-00-0760,C01,C14,C02,C10,C15,C13,C04,C06,C12,,,,,,,
102,000503-00-0762,C01,C02,C15,C13,C05,C06,C12,C11,,,,,,,,
103,000503-00-0767,C01,C02,C05,C12,C11,C15,C13,C03,C04,,,,,,,
104,000503-00-0773,C01,C13,C09,C16,C05,C12,C02,C04,C07,C08,C15,C14,C11,C10,C06,C03
105,000503-00-0790,C01,C02,C11,C05,C03,C12,C13,,,,,,,,,
106,000503-00-0794,C01,C13,C02,C05,C06,C15,C11,C10,C03,C09,C08,C07,,,,
107,000503-00-0803,C01,C16,C02,C09,C12,C07,,,,,,,,,,
108,000503-00-0805,C01,C03,C09,C10,C14,C12,C08,C07,C04,C16,C02,C05,C06,C15,C11,C13
109,000503-00-0810,C01,C13,C02,C04,C16,,,,,,,,,,,
110,000503-00-0825,C01,C02,C13,C12,C11,C09,,,,,,,,,,
111,000503-00-0826,C01,C06,C13,C09,C12,,,,,,,,,,,
112,000503-00-0830,C01,C02,C13,C10,,,,,,,,,,,,
113,000503-00-0839,C01,C13,C11,C02,,,,,,,,,,,,
114,000503-00-0840,C01,C05,C12,C09,C13,C16,C15,C10,,,,,,,,
115,000503-00-0842,C01,C03,C12,C13,,,,,,,,,,,,
116,000503-00-0852,C01,C11,C04,C07,C02,C03,C06,C09,C13,C15,C05,C08,C10,C12,C14,C16
117,000503-00-0860,C01,C02,C13,C11,C10,C06,C05,C03,C09,C04,C07,C15,C14,C12,C16,C08
118,000503-00-0873,C01,C12,C02,,,,,,,,,,,,,
119,000503-00-0876,C01,,,,,,,,,,,,,,,
120,000503-00-0887,C01,C13,C05,C09,,,,,,,,,,,,
121,000503-00-0889,C01,C10,,,,,,,,,,,,,,
122,000503-00-0893,C01,C12,C02,C13,,,,,,,,,,,,
123,000503-00-0900,C01,C08,C09,,,,,,,,,,,,,
124,000503-00-0902,C01,C02,C13,C08,C16,C05,C15,C09,C06,C12,C04,C14,,,,
125,000503-00-0927,C01,C12,C05,C09,C16,C13,C15,C10,,,,,,,,
126,000503-00-0940,C01,C05,C02,C16,C12,C07,C10,C15,C09,,,,,,,
127,000503-00-0941,C01,C13,C04,C16,C06,C09,,,,,,,,,,
128,000503-00-0947,C01,,,,,,,,,,,,,,,
129,000503-00-0950,C01,C09,C02,,,,,,,,,,,,,
130,000503-00-0956,C01,C06,C11,,,,,,,,,,,,,
131,000503-00-0958,C01,C05,C06,C02,C13,,,,,,,,,,,
132,000503-00-0962,C01,C02,C07,C13,C09,C12,C16,C15,C14,C11,C10,C08,C06,C05,C04,C03
133,000503-00-0965,C01,C02,C13,C12,C16,C05,C09,C04,,,,,,,,
134,000503-00-0968,C01,C12,C02,C13,C07,C16,C09,,,,,,,,,
135,000503-00-0971,C01,C13,C04,C16,C02,,,,,,,,,,,
136,000503-00-0974,C01,C02,C13,C16,C12,C09,,,,,,,,,,
137,000503-00-0976,C01,,,,,,,,,,,,,,,
138,000503-00-0979,C01,C13,C09,,,,,,,,,,,,,
139,000503-00-0981,C01,C02,C06,C09,C13,,,,,,,,,,,
140,000503-00-0985,C01,C02,C09,C16,C11,C12,C15,,,,,,,,,
141,000503-00-1002,C01,C13,,,,,,,,,,,,,,
142,000503-00-1003,C01,C13,C12,C04,C05,,,,,,,,,,,
143,000503-00-1006,C01,C02,C13,C12,C09,C04,C16,,,,,,,,,
144,000503-00-1011,C01,C16,C09,C13,C12,C04,C06,C05,C03,,,,,,,
145,000503-00-1020,C01,C02,C15,C11,C13,C05,,,,,,,,,,
146,000503-00-1028,C01,C06,,,,,,,,,,,,,,
147,000503-00-1034,C01,,,,,,,,,,,,,,,
148,000503-00-1036,C01,C02,C09,C12,,,,,,,,,,,,
149,000503-00-1042,C01,C02,C03,C11,C15,C09,C13,C12,,,,,,,,
150,000503-00-1045,C01,C02,C13,C09,C07,C15,C06,,,,,,,,,
151,000503-00-1049,C01,C09,C04,,,,,,,,,,,,,
152,000503-00-1077,C01,C02,C16,C06,C13,C14,C10,C11,C15,,,,,,,
153,000503-00-1099,C01,,,,,,,,,,,,,,,
154,000503-00-1101,C01,,,,,,,,,,,,,,,
155,000503-00-1104,C01,C02,C11,C15,C14,C13,C12,C10,C09,C08,C07,C06,C05,C04,,
156,000503-00-1107,C01,C13,C03,C02,,,,,,,,,,,,
157,000503-00-1108,C01,C15,C13,C06,C03,C02,,,,,,,,,,
158,000503-00-0008,C01,C12,C03,C04,C05,C07,C08,C09,C10,,,,,,,
159,000503-00-0012,C01,C05,C02,C09,C13,,,,,,,,,,,
160,000203-00-0015,C01,,,,,,,,,,,,,,,
161,000203-00-0017,C01,C02,C11,C13,C15,C09,C07,C14,C08,,,,,,,
162,000203-00-0026,C01,C02,C11,C12,C13,,,,,,,,,,,
163,000203-00-0029,C01,C13,C15,C11,C02,,,,,,,,,,,
164,000502-00-0003,C01,C11,C09,C13,C15,C02,C03,C05,C06,,,,,,,
165,000502-00-0019,C01,C02,C16,,,,,,,,,,,,,
166,000502-00-0023,C01,,,,,,,,,,,,,,,
167,000502-00-0057,C01,C13,C02,,,,,,,,,,,,,
168,000502-00-0062,C01,C02,C11,,,,,,,,,,,,,
169,000502-00-0071,C01,C05,C09,C11,C12,C10,C14,C03,C02,,,,,,,
170,000502-00-0076,C01,C11,C09,,,,,,,,,,,,,
171,000502-00-0101,C01,C12,C02,C16,C11,C06,C13,,,,,,,,,
172,000502-00-0113,C01,C13,,,,,,,,,,,,,,
173,000502-00-0115,C01,C13,C15,C06,,,,,,,,,,,,
174,000502-00-0122,C01,C12,C02,C06,C13,C16,C05,C07,C15,,,,,,,
175,000502-00-0128,C01,C02,C16,C13,C11,C12,,,,,,,,,,
176,000502-00-0130,C01,C02,C13,C12,,,,,,,,,,,,
177,000502-00-0149,C01,C14,C11,C09,C02,C13,C16,C05,C07,C10,,,,,,
178,000502-00-0164,C01,C05,C13,C14,C15,C03,C04,C06,C07,C08,C09,C10,C12,C16,C11,C02
179,000502-00-0173,C01,C13,C02,C15,C16,C12,C04,C11,C03,,,,,,,
180,000502-00-0181,C01,C09,C13,C06,C12,C14,,,,,,,,,,
181,000502-00-0191,C01,C13,C12,,,,,,,,,,,,,
182,000502-00-0215,C01,C09,C13,C11,C12,C06,C02,C05,C15,C16,,,,,,
183,000502-00-0218,C01,C02,C12,C15,,,,,,,,,,,,
184,000502-00-0230,C01,C02,C13,,,,,,,,,,,,,
185,000502-00-0235,C01,C16,C02,C09,C12,C04,C05,C13,,,,,,,,
186,000502-00-0238,C01,C05,C13,,,,,,,,,,,,,
187,000502-00-0255,C01,C11,C02,C09,C13,,,,,,,,,,,
188,000502-00-0266,C01,C02,C13,C05,C15,,,,,,,,,,,
189,000502-00-0300,C01,C02,C09,C11,C13,C03,C05,C06,C15,C10,C16,C08,C12,C14,C04,
190,000502-00-0309,C01,C12,C16,C13,,,,,,,,,,,,
191,000502-00-0327,C01,C02,C11,C07,C08,C09,C10,C12,C16,C06,C05,C03,,,,
192,000502-00-0339,C01,C05,C13,C12,C09,C16,,,,,,,,,,
193,000502-00-0352,C01,C09,C13,,,,,,,,,,,,,
194,000502-00-0354,C01,C02,C11,C14,C06,,,,,,,,,,,
195,000502-00-0396,C01,C02,C11,C06,C13,C12,C09,C05,C16,,,,,,,
196,000502-00-0399,C01,C09,C05,C02,C13,,,,,,,,,,,
197,000502-00-0400,C01,C02,C05,C09,C03,C14,C06,C13,,,,,,,,
198,000502-00-0423,C01,,,,,,,,,,,,,,,
199,000502-00-0428,C01,C05,C12,C13,C02,C09,C04,C16,C11,C07,,,,,,
200,000502-00-0439,C01,C09,C12,C05,C15,C13,C03,,,,,,,,,
201,000502-00-0465,C01,C09,C16,C12,C13,C15,,,,,,,,,,
202,000502-00-0467,C01,C16,C06,,,,,,,,,,,,,
203,000502-00-0470,C01,C02,C14,C12,C06,C07,C16,C13,,,,,,,,
204,000502-00-0528,C01,C02,C09,C13,C16,C12,,,,,,,,,,
205,000502-00-0536,C01,C02,C13,C15,C14,C06,C07,,,,,,,,,
206,000502-00-0553,C01,C02,C11,C13,C07,C16,,,,,,,,,,
207,000502-00-0564,C01,C13,C11,C02,,,,,,,,,,,,
208,000502-00-0575,C01,C13,C02,C09,C12,C05,,,,,,,,,,
209,000502-00-0578,C01,C16,C05,C13,C09,C15,C12,C07,C06,C02,,,,,,
210,000502-00-0592,C01,C02,C13,C11,C07,C16,C15,C14,C12,C09,C06,C05,C04,C03,,
211,000502-00-0602,C01,C13,C02,C03,C11,,,,,,,,,,,
212,000502-00-0612,C01,C13,C02,,,,,,,,,,,,,
213,000502-00-0625,C01,C11,C02,C13,C14,,,,,,,,,,,
214,000502-00-0645,C01,C13,C09,C02,C12,C16,C05,,,,,,,,,
215,000502-00-0677,C01,C13,C02,C06,,,,,,,,,,,,
216,000502-00-0690,C01,C09,C02,C13,C11,C12,,,,,,,,,,
217,000502-00-0698,C01,C16,C02,C09,C13,,,,,,,,,,,
218,000502-00-0704,C01,C02,C11,C13,C06,C09,C03,C15,C05,C16,,,,,,
219,000502-00-0739,C01,C02,C12,C13,,,,,,,,,,,,
220,000502-00-0764,C01,C13,C12,C16,,,,,,,,,,,,
221,000502-00-0775,C01,C13,C05,C12,,,,,,,,,,,,
222,000502-00-0799,C01,C03,C09,,,,,,,,,,,,,
223,000502-00-0807,C01,C12,C05,C15,,,,,,,,,,,,
224,000502-00-0810,C01,C13,C02,C15,,,,,,,,,,,,
225,000502-00-0822,C01,C02,C09,,,,,,,,,,,,,
226,000502-00-0828,C01,C16,C02,C05,C12,,,,,,,,,,,
227,000502-00-0847,C01,C02,C13,C11,,,,,,,,,,,,
228,000502-00-0864,C01,C16,C09,C15,C14,C13,C12,C05,,,,,,,,
229,000502-00-0873,C01,C05,C12,,,,,,,,,,,,,
230,000502-00-0878,C01,C13,,,,,,,,,,,,,,
231,000502-00-0903,C01,,,,,,,,,,,,,,,
232,000502-00-0907,C01,C13,C12,C09,,,,,,,,,,,,
233,000502-00-0909,C01,C02,C11,C13,C03,,,,,,,,,,,
234,000502-00-0943,C01,C09,C08,C10,C13,,,,,,,,,,,
235,000502-00-0945,C01,C02,C09,C05,C04,C16,,,,,,,,,,
236,000502-00-0953,C01,C11,C09,C13,,,,,,,,,,,,
237,000502-00-1011,C01,C11,C02,,,,,,,,,,,,,
238,000502-00-1022,C01,C02,C15,C07,,,,,,,,,,,,
239,000502-00-1040,C01,C13,C09,C16,C06,C05,C12,,,,,,,,,
240,000502-00-1041,C01,C09,C13,C15,C06,,,,,,,,,,,
241,000502-00-1049,C01,C02,C03,,,,,,,,,,,,,
242,000502-00-1050,C01,C13,C09,,,,,,,,,,,,,
243,000502-00-1068,C01,C13,C12,C02,C11,,,,,,,,,,,
244,000502-00-1078,C01,C02,,,,,,,,,,,,,,
245,000502-00-1093,C01,C12,C15,C16,C10,C02,,,,,,,,,,
246,000502-00-1103,C01,C12,C13,C02,,,,,,,,,,,,
247,000502-00-1105,C01,C12,C13,C02,,,,,,,,,,,,
248,000502-00-1109,C01,C02,C13,,,,,,,,,,,,,
249,000502-00-1118,C01,,,,,,,,,,,,,,,
250,000502-00-1123,C01,C12,C05,C13,C06,C15,C16,C07,,,,,,,,
251,000802-00-0016,C01,C02,C16,C12,C03,C09,C10,C06,C05,C13,C14,C15,C07,C08,C11,C04
252,000802-00-0020,C01,C09,C02,C05,C06,C13,,,,,,,,,,
253,000802-00-0044,C01,C05,C16,,,,,,,,,,,,,
254,000802-00-0047,C01,C05,C16,C09,C13,,,,,,,,,,,
255,000802-00-0055,C01,C13,C09,C06,C02,,,,,,,,,,,
256,000802-00-0057,C01,,,,,,,,,,,,,,,
257,000802-00-0062,C01,C09,C02,C05,C06,C15,,,,,,,,,,
258,000802-00-0064,C01,C09,C05,C02,C15,C12,,,,,,,,,,
259,000802-00-0080,C01,C12,C02,C09,C15,C13,C14,C06,C05,,,,,,,
260,000802-00-0094,C01,C09,C13,C05,C12,C02,,,,,,,,,,
261,000802-00-0095,C01,,,,,,,,,,,,,,,
262,000802-00-0099,C01,C09,C13,C05,C12,,,,,,,,,,,
263,000802-00-0133,C01,C06,C12,C14,,,,,,,,,,,,
264,000802-00-0135,C01,C12,C13,,,,,,,,,,,,,
265,000802-00-0149,C01,C12,C06,C13,C02,C04,C14,C09,C15,,,,,,,
266,000802-00-0154,C01,C02,C13,C12,C16,C04,C05,C09,,,,,,,,
267,000802-00-0159,C01,C13,C09,,,,,,,,,,,,,
268,000802-00-0171,C01,C07,C12,C16,,,,,,,,,,,,
269,000802-00-0177,C01,C12,C03,C06,C13,,,,,,,,,,,
270,000802-00-0191,C01,C09,C13,C16,,,,,,,,,,,,
271,000802-00-0196,C01,,,,,,,,,,,,,,,
272,000802-00-0198,C01,C09,C12,C13,,,,,,,,,,,,
273,000802-00-0209,C01,C05,C09,C16,C03,C06,C15,C12,,,,,,,,
274,000802-00-0244,C01,C11,C13,C09,,,,,,,,,,,,
275,000802-00-0267,C01,C02,C03,C14,C15,C13,C11,overvote,C10,C08,C07,C06,C05,C04,,
276,000802-00-0277,C01,C02,C06,C11,,,,,,,,,,,,
277,000802-00-0283,C01,C02,C11,C06,C13,C09,C16,C10,,,,,,,,
278,000802-00-0296,C01,C12,C05,C03,,,,,,,,,,,,
279,000802-00-0298,C01,C05,C11,C02,C06,C04,C15,C12,,,,,,,,
280,000802-00-0308,C01,C09,C13,C06,C02,C03,,,,,,,,,,
281,000802-00-0321,C01,C05,C12,C16,C09,C02,C07,C13,C06,,,,,,,
282,000802-00-0326,C01,C09,C13,C02,C05,C06,,,,,,,,,,
283,000802-00-0330,C01,C02,C09,C12,,,,,,,,,,,,
284,000802-00-0332,C01,C09,C02,,,,,,,,,,,,,
285,000802-00-0340,C01,C09,C06,C02,C05,C11,C13,C12,,,,,,,,
286,000802-00-0345,C01,C09,C06,C12,C03,C02,,,,,,,,,,
287,000802-00-0350,C01,C09,C06,C12,C16,C07,C05,C11,C13,,,,,,,
288,000802-00-0364,C01,C09,,,,,,,,,,,,,,
289,000802-00-0366,C01,C03,C13,C15,C05,C06,C09,C02,C11,,,,,,,
290,000802-00-0381,C01,C09,C06,C02,C12,,,,,,,,,,,
291,000802-00-0383,C01,C09,C12,,,,,,,,,,,,,
292,000802-00-0386,C01,C12,C02,,,,,,,,,,,,,
293,000802-00-0400,C01,C05,C09,,,,,,,,,,,,,
294,000802-00-0409,C01,C12,C13,C09,C02,,,,,,,,,,,
295,000802-00-0412,C01,C04,,,,,,,,,,,,,,
296,000802-00-0417,C01,C09,,,,,,,,,,,,,,
297,000802-00-0423,C01,C03,,,,,,,,,,,,,,
298,000802-00-0430,C01,C09,C06,C12,C14,,,,,,,,,,,
299,000802-00-0471,C01,,,,,,,,,,,,,,,
300,000802-00-0473,C01,C02,C13,C03,C09,C07,C04,C06,C10,C12,C14,C15,C16,,,
301,000802-00-0494,C01,C02,C15,C13,C09,C06,C12,,,,,,,,,
302,000802-00-0498,C01,C13,C09,C06,C10,,,,,,,,,,,
303,000802-00-0499,C01,C16,,,,,,,,,,,,,,
304,000802-00-0502,C01,C13,C12,C07,C16,,,,,,,,,,,
305,000802-00-0510,C01,C12,C02,C06,C09,C15,C13,C14,C10,C05,,,,,,
306,000802-00-0521,C01,C02,C05,C09,C12,C15,,,,,,,,,,
307,000802-00-0532,C01,C09,,,,,,,,,,,,,,
308,000802-00-0562,C01,C11,C09,,,,,,,,,,,,,
309,000802-00-0577,C01,C11,,,,,,,,,,,,,,
310,000802-00-0578,C01,C11,C03,C06,,,,,,,,,,,,
311,000802-00-0587,C01,C02,C03,C15,C13,C09,C11,,,,,,,,,
312,000802-00-0595,C01,C16,,,,,,,,,,,,,,
313,000802-00-0602,C01,C09,C07,C12,C16,,,,,,,,,,,
314,000802-00-0615,C01,C12,C02,C09,C15,C05,C13,C14,C07,,,,,,,
315,000802-00-0617,C01,C02,C09,C05,C11,C13,C03,C06,,,,,,,,
316,000802-00-0633,C01,C02,C13,C09,C12,,,,,,,,,,,
317,000802-00-0634,C01,C02,C13,C09,,,,,,,,,,,,
318,000802-00-0651,C01,C02,C09,C11,C10,C06,C05,C03,,,,,,,,
319,000802-00-0656,C01,C02,C09,C13,C06,C11,C04,,,,,,,,,
320,000802-00-0658,C01,C09,C02,C15,C12,C13,C06,C05,,,,,,,,
321,000802-00-0660,C01,C09,,,,,,,,,,,,,,
322,000802-00-0670,C01,C16,C14,C09,,,,,,,,,,,,
323,000802-00-0677,C01,C13,C02,,,,,,,,,,,,,
324,000802-00-0685,C01,C13,C02,,,,,,,,,,,,,
325,000802-00-0686,C01,C02,C06,C16,C05,C13,C09,C11,,,,,,,,
326,000802-00-0700,C01,C09,C13,C14,C11,C15,C06,,,,,,,,,
327,000802-00-0713,C01,C05,C09,C12,C15,C13,C02,C04,C16,,,,,,,
328,000802-00-0718,C01,C09,C12,,,,,,,,,,,,,
329,000802-00-0730,C01,C09,,,,,,,,,,,,,,
330,000802-00-0750,C01,C11,C09,,,,,,,,,,,,,
331,000802-00-0755,C01,C04,C02,C06,C13,,,,,,,,,,,
332,000802-00-0763,C01,C09,C06,C13,C02,C12,,,,,,,,,,
333,000802-00-0766,C01,C03,,,,,,,,,,,,,,
334,000802-00-0775,C01,C06,C09,C13,C14,C12,C10,C16,,,,,,,,
335,000802-00-0794,C01,C09,,,,,,,,,,,,,,
336,000802-00-0810,C01,C09,C05,C02,,,,,,,,,,,,
337,000802-00-0819,C01,C02,C13,C03,C11,C04,C05,C06,C09,C15,C16,C07,C08,C10,C12,
338,000802-00-0823,overvote,C01,,,,,,,,,,,,,,
339,000101-00-0001,C01,C14,C10,C13,C04,,,,,,,,,,,
340,000101-00-0038,C01,C11,C15,C06,C02,C10,,,,,,,,,,
341,000101-00-0068,C01,C02,C13,C15,,,,,,,,,,,,
342,000101-00-0112,C01,C09,C06,C13,C11,,,,,,,,,,,
343,000101-00-0114,C01,C09,C13,C11,C06,,,,,,,,,,,
344,000101-00-0137,C01,C13,C10,,,,,,,,,,,,,
345,000101-00-0280,C01,,,,,,,,,,,,,,,
346,000101-00-0284,C01,C12,C05,C09,C02,,,,,,,,,,,
347,000101-00-0306,C01,C03,C13,C15,,,,,,,,,,,,
348,000101-00-0312,C01,C10,C13,,,,,,,,,,,,,
349,000101-00-0330,C01,C06,C13,C11,C02,C03,,,,,,,,,,
350,000101-00-0334,C01,C15,,,,,,,,,,,,,,
351,000101-00-0378,C01,C13,C06,,,,,,,,,,,,,
352,000101-00-0391,C01,C02,C13,C10,,,,,,,,,,,,
353,000101-00-0404,C01,C15,,,,,,,,,,,,,,
354,000101-00-0485,C01,C13,C15,,,,,,,,,,,,,
355,000101-00-0519,C01,C13,C05,C02,,,,,,,,,,,,
356,000101-00-0530,C01,C02,C05,C13,C15,C16,C03,C07,C06,C10,,,,,,
357,000101-00-0567,C01,C02,C09,C03,C10,C13,C15,C06,C05,,,,,,,
358,000101-00-0570,C01,C09,C02,C11,C15,C04,C13,C05,C06,,,,,,,
359,000101-00-0578,C01,C13,C15,C07,,,,,,,,,,,,
360,000101-00-0638,C01,,,,,,,,,,,,,,,
361,000101-00-0653,C01,C02,C16,,,,,,,,,,,,,
362,000101-00-0007,C01,C15,C13,C02,WI0,C05,,,,,,,,,,
363,000703-00-0015,C01,C09,C13,,,,,,,,,,,,,
364,000703-00-0021,C01,C12,,,,,,,,,,,,,,
365,000703-00-0035,C01,C12,C05,C13,C09,C15,C02,C11,,,,,,,,
366,000703-00-0038,C01,C13,C15,C09,C04,C03,C06,C05,C16,C14,C12,C10,C08,C07,C02,C11
367,000703-00-0050,C01,C02,C10,,,,,,,,,,,,,
368,000703-00-0057,C01,C09,C05,C15,C13,C12,C16,C06,C10,,,,,,,
369,000703-00-0069,C01,C16,C12,,,,,,,,,,,,,
370,000703-00-0077,C01,C09,,,,,,,,,,,,,,
371,000703-00-0093,C01,C12,C15,C05,C09,C06,C13,C11,C02,C03,C07,C04,C08,C10,C16,C14
372,000703-00-0101,C01,C02,C09,C13,C03,,,,,,,,,,,
373,000703-00-0108,C01,C05,C16,C12,C13,C07,C06,C09,C02,C04,C15,,,,,
