,Unnamed: 0,Unnamed: 1,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice,20th Choice,21st Choice,22nd Choice,23rd Choice,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
32,000803-00-0066,10016,C19,C01,C15,C04,C06,C22,C03,C14,C10,,,,,,,,,,,,,,,,,,
33,000803-00-0067,10018,C03,C19,C20,,,,,,,,,,,,,,,,,,,,,,,,
34,000803-00-0070,10020,C04,C14,C03,C06,C19,,,,,,,,,,,,,,,,,,,,,,
35,000803-00-0071,10017,C12,,,,,,,,,,,,,,,,,,,,,,,,,,
36,000803-00-0072,10019,C02,C03,C08,C14,C22,C21,C09,C15,C12,,,,,,,,,,,,,,,,,,
37,000803-00-0074,10021,C14,C18,C08,,,,,,,,,,,,,,,,,,,,,,,,
38,000803-00-0076,10022,C19,C03,C22,C06,,,,,,,,,,,,,,,,,,,,,,,
39,000803-00-0079,10001,C19,C01,C15,C03,C23,C05,,,,,,,,,,,,,,,,,,,,,
40,000803-00-0080,10000,C06,C19,C21,,,,,,,,,,,,,,,,,,,,,,,,
41,000803-00-0082,10002,C14,C08,C10,C19,C20,C03,C21,,,,,,,,,,,,,,,,,,,,
42,000803-00-0084,10004,C14,C06,C22,,,,,,,,,,,,,,,,,,,,,,,,
43,000803-00-0087,10005,C04,C01,C03,C14,C15,,,,,,,,,,,,,,,,,,,,,,
44,000803-00-0088,10007,C10,C14,C15,C19,C03,,,,,,,,,,,,,,,,,,,,,,
45,000803-00-0090,10006,C10,C19,C03,C04,,,,,,,,,,,,,,,,,,,,,,,
46,000803-00-0092,10008,C14,C06,C22,,,,,,,,,,,,,,,,,,,,,,,,
47,000803-00-0094,10011,C12,C10,C15,C19,C20,C01,C03,,,,,,,,,,,,,,,,,,,,
48,000803-00-0097,10012,C14,C03,C08,C23,C06,C11,C07,,,,,,,,,,,,,,,,,,,,
49,000803-00-0098,10013,C11,C05,C09,,,,,,,,,,,,,,,,,,,,,,,,
50,000803-00-0100,10014,C03,C19,C06,C14,C21,,,,,,,,,,,,,,,,,,,,,,
51,000803-00-0101,10017,C14,C06,C22,C19,C21,,,,,,,,,,,,,,,,,,,,,,
52,000803-00-0104,10018,C21,C02,C10,C04,C08,C03,C19,C22,C12,C01,C20,C15,,,,,,,,,,,,,,,
53,000803-00-0105,10022,C14,C06,C22,C03,,,,,,,,,,,,,,,,,,,,,,,
54,000803-00-0107,10000,C03,C07,C04,,,,,,,,,,,,,,,,,,,,,,,,
55,000803-00-0109,10001,C14,C22,,,,,,,,,,,,,,,,,,,,,,,,,
56,000803-00-0112,10002,C19,C01,C15,C04,C06,C22,C03,C14,C10,,,,,,,,,,,,,,,,,,
57,000803-00-0114,10021,C03,C15,C12,C19,C01,C10,C20,C06,,,,,,,,,,,,,,,,,,,
58,000803-00-0115,10020,C14,C22,C06,C08,,,,,,,,,,,,,,,,,,,,,,,
59,000803-00-0118,10003,C03,C15,C12,C19,C01,C10,C20,C06,C17,C14,,,,,,,,,,,,,,,,,
60,000803-00-0119,10001,C06,C14,C22,,,,,,,,,,,,,,,,,,,,,,,,
61,000803-00-0120,10002,C19,C01,C22,C14,C03,C06,,,,,,,,,,,,,,,,,,,,,
62,000803-00-0003,10003,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,000803-00-0004,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,000803-00-0005,10010,C03,,,,,,,,,,,,,,,,,,,,,,,,,,
65,000803-00-0006,10005,C03,C05,C19,C14,C12,C08,C06,C10,C18,C21,C20,C23,C07,C09,C15,C04,C01,C11,C13,C16,C17,C02,,,,,
66,000803-00-0007,10000,C10,C03,C12,C14,C15,C19,C20,C01,C02,,,,,,,,,,,,,,,,,,
67,000403-00-0002,10019,C01,C19,,,,,,,,,,,,,,,,,,,,,,,,,
68,000403-00-0004,10022,C20,C15,C03,C21,,,,,,,,,,,,,,,,,,,,,,,
69,000403-00-0006,10018,C10,,,,,,,,,,,,,,,,,,,,,,,,,,
70,000403-00-0007,10017,C06,C03,C01,C14,C10,C19,C12,C15,,,,,,,,,,,,,,,,,,,
71,000403-00-0010,10016,C19,C20,C01,C03,C12,C15,C10,C06,,,,,,,,,,,,,,,,,,,
72,000403-00-0011,10013,C12,,,,,,,,,,,,,,,,,,,,,,,,,,
73,000403-00-0013,10014,C19,C20,C10,C15,C01,C03,C06,,,,,,,,,,,,,,,,,,,,
74,000403-00-0016,10012,C01,C06,C08,C02,C22,C14,C04,,,,,,,,,,,,,,,,,,,,
75,000403-00-0018,10011,C19,C12,C01,C03,C15,,,,,,,,,,,,,,,,,,,,,,
76,000403-00-0019,10009,C18,C10,C15,C12,C03,C01,C20,C19,C21,C06,,,,,,,,,,,,,,,,,
77,000403-00-0021,10008,C15,C19,C03,C01,C10,C12,C20,C14,C06,C21,,,,,,,,,,,,,,,,,
78,000403-00-0023,10005,C19,C20,C21,C15,,,,,,,,,,,,,,,,,,,,,,,
79,000403-00-0026,10003,C02,,,,,,,,,,,,,,,,,,,,,,,,,,
80,000403-00-0028,10002,C14,C02,C04,,,,,,,,,,,,,,,,,,,,,,,,
81,000403-00-0031,10000,C02,C15,C14,C19,C20,C21,,,,,,,,,,,,,,,,,,,,,
82,000403-00-0032,10021,C01,C02,C03,C10,C12,C14,C19,C20,C21,C18,C17,C16,C15,C13,C11,C09,C08,C07,C06,C05,C04,C23,C22,,,,
83,000403-00-0034,10000,C10,C12,C15,C19,C20,C01,C02,C03,C14,,,,,,,,,,,,,,,,,,
84,000403-00-0035,10018,C20,,,,,,,,,,,,,,,,,,,,,,,,,,
85,000403-00-0037,10000,C12,C10,C19,C20,C15,C03,C01,,,,,,,,,,,,,,,,,,,,
86,000403-00-0039,10017,C19,C01,C15,C03,,,,,,,,,,,,,,,,,,,,,,,
87,000403-00-0041,10020,C14,C01,C15,C19,,,,,,,,,,,,,,,,,,,,,,,
88,000403-00-0043,10019,C15,C19,C03,C01,C12,C08,C22,C20,C21,C05,,,,,,,,,,,,,,,,,
89,000403-00-0045,10015,C14,C10,C15,,,,,,,,,,,,,,,,,,,,,,,,
90,000403-00-0047,10013,C14,C06,C22,C07,C01,C19,,,,,,,,,,,,,,,,,,,,,
91,000403-00-0050,10014,C19,C03,C10,C12,C15,C20,C01,C05,C06,,,,,,,,,,,,,,,,,,
92,000403-00-0052,10012,C12,C03,C15,C19,C08,,,,,,,,,,,,,,,,,,,,,,
93,000403-00-0053,10011,C15,C03,C21,,,,,,,,,,,,,,,,,,,,,,,,
94,000403-00-0056,10009,C12,C19,C20,C01,C03,C15,,,,,,,,,,,,,,,,,,,,,
95,000403-00-0057,10008,C02,C04,C08,C14,C21,C22,C10,,,,,,,,,,,,,,,,,,,,
96,000403-00-0058,10007,C03,C06,C23,C02,C04,C08,C14,C11,C19,,,,,,,,,,,,,,,,,,
97,000403-00-0060,10004,C14,C01,C02,C19,C06,C10,C18,,,,,,,,,,,,,,,,,,,,
98,000403-00-0063,10005,C14,C05,C21,,,,,,,,,,,,,,,,,,,,,,,,
99,000403-00-0065,10003,C14,C06,,,,,,,,,,,,,,,,,,,,,,,,,
100,000403-00-0066,10002,C06,C10,C15,C19,C14,C20,C02,C01,,,,,,,,,,,,,,,,,,,
101,000403-00-0069,10022,C05,C19,C08,C15,C10,C01,C02,C20,,,,,,,,,,,,,,,,,,,
102,000403-00-0070,10000,C19,C11,C02,C03,C12,C14,C01,C15,C20,C04,C16,C18,C06,C21,C10,C07,C08,C13,C17,C22,C23,C05,C09,,,,
103,000403-00-0073,10020,C12,,,,,,,,,,,,,,,,,,,,,,,,,,
104,000403-00-0075,10021,C14,C16,C19,C21,C01,,,,,,,,,,,,,,,,,,,,,,
105,000403-00-0077,10017,C19,C20,C21,C18,C22,C23,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C12,C11,C13,C14,C15,C16,C17,,,,
106,000403-00-0078,10018,C19,,,,,,,,,,,,,,,,,,,,,,,,,,
107,000403-00-0080,10016,C12,C21,C20,C03,,,,,,,,,,,,,,,,,,,,,,,
108,000403-00-0083,10011,C08,C02,C03,C10,C06,C15,C22,C21,C23,,,,,,,,,,,,,,,,,,
109,000403-00-0085,10013,C19,C15,C12,,,,,,,,,,,,,,,,,,,,,,,,
110,000403-00-0087,10009,C12,C01,C14,C03,C20,C10,C11,C15,C16,C17,C18,C19,C21,C22,C23,C02,C04,C05,C06,C07,C08,C09,,,,,
111,000403-00-0089,10007,C08,C01,C03,C10,C06,C15,C22,C21,C14,,,,,,,,,,,,,,,,,,
112,000403-00-0090,10008,C02,C04,C08,C06,C22,C14,C21,,,,,,,,,,,,,,,,,,,,
113,000403-00-0091,10006,C23,C12,C20,C09,,,,,,,,,,,,,,,,,,,,,,,
114,000403-00-0093,10005,C02,,,,,,,,,,,,,,,,,,,,,,,,,,
115,000403-00-0094,10021,C21,,,,,,,,,,,,,,,,,,,,,,,,,,
116,000403-00-0097,10001,C03,C05,,,,,,,,,,,,,,,,,,,,,,,,,
117,000403-00-0099,10000,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,,,,
118,000403-00-0101,10022,C23,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,,,,
119,000403-00-0102,10018,C14,C21,C03,C01,C10,C12,C19,C20,C02,C15,,,,,,,,,,,,,,,,,
120,000403-00-0105,10019,C19,C15,C01,C20,,,,,,,,,,,,,,,,,,,,,,,
121,000403-00-0106,10017,C21,C01,C03,C14,,,,,,,,,,,,,,,,,,,,,,,
122,000403-00-0108,10016,C21,C19,C03,C14,C08,,,,,,,,,,,,,,,,,,,,,,
123,000403-00-0109,10015,C14,C06,C05,C09,C11,C21,C03,C02,C16,C08,C04,C19,C15,C17,C18,C20,C22,C23,C13,C12,C10,C01,,,,,
124,000403-00-0110,10014,C21,C15,C03,C12,,,,,,,,,,,,,,,,,,,,,,,
125,000403-00-0113,10013,C12,,,,,,,,,,,,,,,,,,,,,,,,,,
126,000403-00-0115,10012,C19,C15,,,,,,,,,,,,,,,,,,,,,,,,,
127,000403-00-0117,10010,C19,,,,,,,,,,,,,,,,,,,,,,,,,,
128,000403-00-0118,10009,C23,C04,C03,C11,C16,C20,C06,C14,,,,,,,,,,,,,,,,,,,
129,000403-00-0120,10011,C12,C19,C01,,,,,,,,,,,,,,,,,,,,,,,,
130,000403-00-0122,10008,C12,C19,C21,C20,C03,,,,,,,,,,,,,,,,,,,,,,
131,000403-00-0125,10006,C14,C06,C12,C15,,,,,,,,,,,,,,,,,,,,,,,
132,000403-00-0127,10005,C12,C10,C20,C21,C01,C02,C04,,,,,,,,,,,,,,,,,,,,
133,000403-00-0128,10004,C14,,,,,,,,,,,,,,,,,,,,,,,,,,
134,000403-00-0130,10003,C14,C15,C10,C08,,,,,,,,,,,,,,,,,,,,,,,
135,000403-00-0132,10002,C12,,,,,,,,,,,,,,,,,,,,,,,,,,
136,000403-00-0133,10000,C19,C05,C08,C21,,,,,,,,,,,,,,,,,,,,,,,
137,000403-00-0135,10001,C19,C01,,,,,,,,,,,,,,,,,,,,,,,,,
138,000403-00-0137,10022,C21,C14,,,,,,,,,,,,,,,,,,,,,,,,,
139,000403-00-0139,10021,C01,C16,C20,,,,,,,,,,,,,,,,,,,,,,,,
140,000403-00-0140,10020,C01,C10,C19,C12,C03,C20,C14,C21,C04,C17,,,,,,,,,,,,,,,,,
141,000403-00-0143,10019,C02,C14,C08,C22,C04,,,,,,,,,,,,,,,,,,,,,,
142,000403-00-0144,10018,C01,C19,C15,C12,C20,C21,C04,,,,,,,,,,,,,,,,,,,,
143,000403-00-0147,10017,C21,C04,C03,C13,C05,C19,,,,,,,,,,,,,,,,,,,,,
144,000403-00-0148,10016,C10,C04,C21,C20,C01,C12,C15,C14,C23,,,,,,,,,,,,,,,,,,
145,000403-00-0151,10015,C15,C10,C14,C12,C16,C19,C20,C21,C22,C01,C02,C03,,,,,,,,,,,,,,,
146,000403-00-0153,10014,C06,C21,C12,C14,C01,C03,,,,,,,,,,,,,,,,,,,,,
147,000403-00-0155,10012,C15,,,,,,,,,,,,,,,,,,,,,,,,,,
148,000403-00-0156,10011,C04,C21,C12,C14,C15,C20,,,,,,,,,,,,,,,,,,,,,
149,000403-00-0158,10010,C19,C01,C15,C12,C20,C03,,,,,,,,,,,,,,,,,,,,,
150,000403-00-0161,10009,C19,C23,C12,C14,C08,C20,C02,C04,C13,C21,C22,,,,,,,,,,,,,,,,
151,000403-00-0162,10007,C01,C21,C15,C10,,,,,,,,,,,,,,,,,,,,,,,
152,000403-00-0165,10006,C10,C12,C15,C01,,,,,,,,,,,,,,,,,,,,,,,
153,000403-00-0166,10005,C19,C05,C01,,,,,,,,,,,,,,,,,,,,,,,,
154,000403-00-0168,10003,C08,C14,C06,C21,C02,,,,,,,,,,,,,,,,,,,,,,
155,000403-00-0170,10002,C21,C03,C17,C07,C01,,,,,,,,,,,,,,,,,,,,,,
156,000403-00-0172,10001,C10,C20,C03,C12,,,,,,,,,,,,,,,,,,,,,,,
157,000403-00-0174,10000,C19,,,,,,,,,,,,,,,,,,,,,,,,,,
158,000403-00-0177,10021,C10,C20,C12,C03,C01,C02,C19,C21,,,,,,,,,,,,,,,,,,,
159,000403-00-0178,10020,C14,C16,C11,C18,C05,C09,C01,C03,C10,C20,,,,,,,,,,,,,,,,,
160,000403-00-0181,10017,C15,C20,C21,C01,C03,C12,,,,,,,,,,,,,,,,,,,,,
161,000403-00-0183,10015,C15,C03,C12,C20,C19,C01,C10,,,,,,,,,,,,,,,,,,,,
162,000403-00-0184,10016,C21,C20,C19,C03,C10,C12,C14,C15,C05,C07,,,,,,,,,,,,,,,,,
163,000403-00-0185,10014,C23,C15,C01,C20,C03,C19,C21,C12,C10,,,,,,,,,,,,,,,,,,
164,000403-00-0186,10012,C15,,,,,,,,,,,,,,,,,,,,,,,,,,
165,000403-00-0188,10013,C08,C23,C02,C19,,,,,,,,,,,,,,,,,,,,,,,
166,000403-00-0191,10011,C12,C08,,,,,,,,,,,,,,,,,,,,,,,,,
167,000403-00-0192,10010,C13,C01,C19,,,,,,,,,,,,,,,,,,,,,,,,
168,000403-00-0195,10007,C01,C19,,,,,,,,,,,,,,,,,,,,,,,,,
169,000403-00-0197,10020,C06,C19,C03,C10,C15,C20,C12,,,,,,,,,,,,,,,,,,,,
170,000403-00-0198,10021,C03,C14,C19,C18,C15,C02,C11,C08,C10,C12,C20,C01,C04,C05,C21,C07,C09,C13,C16,C17,C22,C06,C23,,,,
171,000403-00-0201,10006,C01,C19,C15,,,,,,,,,,,,,,,,,,,,,,,,
172,000403-00-0202,10008,C15,C10,C04,,,,,,,,,,,,,,,,,,,,,,,,
173,000403-00-0205,10017,C20,C15,,,,,,,,,,,,,,,,,,,,,,,,,
174,000403-00-0207,10018,C01,C03,C22,,,,,,,,,,,,,,,,,,,,,,,,
175,000403-00-0209,10012,C19,C20,C01,,,,,,,,,,,,,,,,,,,,,,,,
176,000403-00-0210,10015,C12,C10,C15,C19,C01,C03,C20,,,,,,,,,,,,,,,,,,,,
177,000403-00-0212,10011,C12,C23,C17,C11,C07,C22,C14,C16,C21,C02,C08,,,,,,,,,,,,,,,,
178,000403-00-0213,10013,C06,C19,C02,C04,C07,C22,C15,C14,C12,C21,C01,,,,,,,,,,,,,,,,
179,000403-00-0215,10003,C03,C15,C12,C19,C01,C10,C20,C06,C17,,,,,,,,,,,,,,,,,,
180,000403-00-0216,10010,C01,,,,,,,,,,,,,,,,,,,,,,,,,,
181,000403-00-0219,10002,C12,C20,C19,C03,,,,,,,,,,,,,,,,,,,,,,,
182,000403-00-0220,10009,C21,,,,,,,,,,,,,,,,,,,,,,,,,,
183,000403-00-0223,10022,C21,C03,C19,C14,,,,,,,,,,,,,,,,,,,,,,,
184,000403-00-0224,10008,C19,C01,C12,,,,,,,,,,,,,,,,,,,,,,,,
185,000403-00-0226,10000,C14,C12,C10,C18,,,,,,,,,,,,,,,,,,,,,,,
186,000403-00-0228,10007,C03,C10,C21,C19,,,,,,,,,,,,,,,,,,,,,,,
187,000403-00-0231,10005,C14,C06,C07,,,,,,,,,,,,,,,,,,,,,,,,
188,000403-00-0232,10003,C21,,,,,,,,,,,,,,,,,,,,,,,,,,
189,000403-00-0235,10004,C20,C21,C04,C13,C05,,,,,,,,,,,,,,,,,,,,,,
190,000403-00-0236,10021,C06,C04,C14,C08,C02,,,,,,,,,,,,,,,,,,,,,,
191,000403-00-0239,10001,C02,C05,C04,C09,C10,C12,C06,C03,C08,C13,C14,C22,C01,C18,C19,C11,C15,C21,C20,C23,C17,C07,C16,,,,
192,000403-00-0241,10019,C19,C15,C14,C12,C10,C03,C02,C22,C01,C20,,,,,,,,,,,,,,,,,
193,000403-00-0242,10017,C14,C21,C01,,,,,,,,,,,,,,,,,,,,,,,,
194,000403-00-0245,10016,C15,C03,C19,C04,C21,C14,C12,C10,C02,C01,C20,,,,,,,,,,,,,,,,
195,000403-00-0246,10000,C19,C15,C03,C10,C21,C12,C06,C20,C01,C04,C02,C13,C08,,,,,,,,,,,,,,
196,000403-00-0247,10018,C03,C06,C15,C14,C19,C07,,,,,,,,,,,,,,,,,,,,,
197,000403-00-0249,10015,C03,C14,C04,,,,,,,,,,,,,,,,,,,,,,,,
198,000403-00-0252,10014,C03,C01,C06,,,,,,,,,,,,,,,,,,,,,,,,
199,000403-00-0253,10022,C14,C06,C02,C22,C21,C03,C19,C08,C04,,,,,,,,,,,,,,,,,,
200,000403-00-0256,10012,C03,C21,,,,,,,,,,,,,,,,,,,,,,,,,
201,000403-00-0257,10008,C08,C02,C15,C10,C06,C03,,,,,,,,,,,,,,,,,,,,,
202,000403-00-0259,10013,C08,C03,C02,C01,,,,,,,,,,,,,,,,,,,,,,,
203,000403-00-0261,10006,C04,C15,C03,C19,C14,C01,C21,C10,,,,,,,,,,,,,,,,,,,
204,000403-00-0264,10007,C04,C15,C03,C19,C14,C01,C21,C10,,,,,,,,,,,,,,,,,,,
205,000403-00-0266,10011,C12,C01,,,,,,,,,,,,,,,,,,,,,,,,,
206,000403-00-0267,10004,C14,C22,C06,,,,,,,,,,,,,,,,,,,,,,,,
207,000403-00-0270,10010,C14,C12,C05,,,,,,,,,,,,,,,,,,,,,,,,
208,000403-00-0271,10003,C14,C01,C05,C22,C06,C09,C21,C15,C12,,,,,,,,,,,,,,,,,,
209,000403-00-0274,10002,C04,C08,C14,C22,C02,C21,C15,C19,C01,C06,C03,,,,,,,,,,,,,,,,
210,000403-00-0276,10022,C06,C14,C08,C21,C23,C22,C04,C03,C19,C17,C18,C12,C11,C09,C07,C02,C05,C16,C15,C01,C20,C10,,,,,
211,000403-00-0277,10021,C09,C05,C10,C15,C20,C19,C03,C12,C01,C14,,,,,,,,,,,,,,,,,
212,000403-00-0279,10002,C06,C14,C08,C21,C23,C22,C04,C03,C19,C17,C18,C12,C11,C10,C07,C02,C05,C16,C09,C13,C01,C20,C15,,,,
213,000403-00-0281,10021,C11,,,,,,,,,,,,,,,,,,,,,,,,,,
214,000403-00-0283,10022,C01,C10,C08,C22,,,,,,,,,,,,,,,,,,,,,,,
215,000403-00-0285,10000,C01,C10,C22,C08,C06,C03,C14,C15,,,,,,,,,,,,,,,,,,,
216,000403-00-0288,10019,C01,C19,C20,C12,C15,C03,,,,,,,,,,,,,,,,,,,,,
217,000403-00-0290,10020,C01,C19,C21,C14,C04,C11,C22,C15,C06,,,,,,,,,,,,,,,,,,
218,000403-00-0291,10018,C15,C10,C03,C19,C21,,,,,,,,,,,,,,,,,,,,,,
219,000403-00-0293,10016,C19,C22,C14,C15,C12,,,,,,,,,,,,,,,,,,,,,,
220,000403-00-0295,10015,C01,C14,C06,,,,,,,,,,,,,,,,,,,,,,,,
221,000403-00-0297,10020,C01,C19,C22,C06,C02,,,,,,,,,,,,,,,,,,,,,,
222,000403-00-0299,10019,C04,C19,C15,C14,C03,C01,,,,,,,,,,,,,,,,,,,,,
223,000403-00-0300,10018,C19,C21,C05,C08,C14,,,,,,,,,,,,,,,,,,,,,,
224,000403-00-0303,10014,C14,C02,C08,C15,C04,C10,C21,C19,C03,C12,,,,,,,,,,,,,,,,,
225,000403-00-0304,10013,C14,C01,C02,C15,C19,C20,C03,,,,,,,,,,,,,,,,,,,,
226,000403-00-0306,10012,C08,C14,,,,,,,,,,,,,,,,,,,,,,,,,
227,000403-00-0307,10017,C05,C19,C15,C14,C21,C03,C08,C11,C12,C18,C20,C02,C01,C04,C06,C13,C16,C10,C09,C17,C07,C23,C22,,,,
228,000403-00-0309,10016,C19,C01,C03,C15,C14,C12,C10,C02,C17,C18,C20,C22,C21,C23,C04,C05,C06,C07,C08,C09,C11,C13,C16,,,,
229,000403-00-0312,10021,C15,C03,C19,C21,C10,C20,C12,C06,C01,C04,C08,C17,C02,C13,,,,,,,,,,,,,
230,000403-00-0313,10020,C04,C10,C08,C14,C02,C06,,,,,,,,,,,,,,,,,,,,,
231,000403-00-0009,10022,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,000403-00-0010,10004,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,000403-00-0011,10016,C19,C01,C15,C03,C10,WI0,C20,C12,C06,C17,C23,C21,C22,C05,C09,C16,C13,,,,,,,,,,
234,000403-00-0012,10007,C11,C21,C02,C04,C01,C16,C10,C06,WI0,,,,,,,,,,,,,,,,,,
235,000403-00-0013,10009,C01,,,,,,,,,,,,,,,,,,,,,,,,,,
236,000401-00-0002,10000,C14,,,,,,,,,,,,,,,,,,,,,,,,,,
237,000401-00-0003,10004,C03,C15,C12,C19,C01,C10,C20,C06,C17,,,,,,,,,,,,,,,,,,
238,000401-00-0006,10013,C04,C14,C08,C06,,,,,,,,,,,,,,,,,,,,,,,
239,000401-00-0007,10013,C14,C06,C22,C02,C11,,,,,,,,,,,,,,,,,,,,,,
240,000401-00-0009,10003,C19,C01,C15,C03,,,,,,,,,,,,,,,,,,,,,,,
241,000401-00-0011,10017,C01,C19,,,,,,,,,,,,,,,,,,,,,,,,,
242,000401-00-0013,10002,C21,C14,C06,C10,C19,C22,C20,C04,C03,C23,,,,,,,,,,,,,,,,,
243,000401-00-0016,10018,C06,C01,C03,C08,C10,C11,C21,C19,C04,,,,,,,,,,,,,,,,,,
244,000401-00-0017,10016,C15,C16,C10,,,,,,,,,,,,,,,,,,,,,,,,
245,000401-00-0019,10015,C15,C19,C08,C14,C03,C21,,,,,,,,,,,,,,,,,,,,,
246,000401-00-0023,10021,C22,C04,C08,C02,C14,C21,C11,,,,,,,,,,,,,,,,,,,,
247,000401-00-0025,10000,C19,C14,C10,C12,C15,C20,C03,C02,C01,,,,,,,,,,,,,,,,,,
248,000401-00-0027,10019,C04,C02,C14,C22,C08,C06,C01,C19,,,,,,,,,,,,,,,,,,,
249,000401-00-0028,10006,C15,C03,,,,,,,,,,,,,,,,,,,,,,,,,
250,000401-00-0029,10001,C06,,,,,,,,,,,,,,,,,,,,,,,,,,
251,000401-00-0032,10002,C02,C04,C08,C14,C22,C01,,,,,,,,,,,,,,,,,,,,,
252,000401-00-0034,10003,C06,C14,C22,C21,C02,C04,C08,C19,C15,,,,,,,,,,,,,,,,,,
253,000401-00-0035,10004,C06,C14,C22,C21,C02,C04,C08,C19,C15,,,,,,,,,,,,,,,,,,
254,000401-00-0037,10008,C19,C21,C14,C10,C02,C03,C04,C01,C13,C12,C08,C20,,,,,,,,,,,,,,,
255,000401-00-0039,10010,C02,C14,C04,C22,C06,C08,,,,,,,,,,,,,,,,,,,,,
