,ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice,20th Choice,21st Choice,22nd Choice,23rd Choice,24th Choice,25th Choice
31,"001001-00-0060,10014,001,1)",C03,C20,C10,C17,C23,C15,C02,C04,C01,C14,C13,C11,C08,C07,C06,C25,C24,,,,,,,,
32,"001001-00-0063,10011,001,1)",C10,C08,C18,C01,,,,,,,,,,,,,,,,,,,,,
33,"001001-00-0064,10008,001,1)",C03,C10,C17,C18,C04,,,,,,,,,,,,,,,,,,,,
34,"001001-00-0065,10009,001,1)",C19,C23,C21,C05,C17,C18,,,,,,,,,,,,,,,,,,,
35,"001001-00-0068,10007,001,1)",C01,C10,C18,C03,C08,C22,C16,,,,,,,,,,,,,,,,,,
36,"001001-00-0070,10012,001,1)",C01,C18,C16,C10,C08,C20,C02,C03,,,,,,,,,,,,,,,,,
37,"001001-00-0071,10000,001,1)",C16,C10,,,,,,,,,,,,,,,,,,,,,,,
38,"001001-00-0073,10016,001,1)",C02,C05,C18,C08,C21,,,,,,,,,,,,,,,,,,,,
39,"001001-00-0076,10015,001,1)",C02,C05,C08,C18,C21,,,,,,,,,,,,,,,,,,,,
40,"001001-00-0077,10001,001,1)",C10,C03,C17,C18,C20,C01,,,,,,,,,,,,,,,,,,,
41,"001001-00-0079,10020,001,1)",C19,,,,,,,,,,,,,,,,,,,,,,,,
42,"001001-00-0081,10019,001,1)",C03,C19,C04,C01,C07,C22,C08,C16,C18,,,,,,,,,,,,,,,,
43,"001001-00-0084,10024,001,1)",C13,C20,C16,C18,C21,,,,,,,,,,,,,,,,,,,,
44,"001001-00-0085,10005,001,1)",C19,C10,C17,C03,,,,,,,,,,,,,,,,,,,,,
45,"001001-00-0086,10006,001,1)",C03,C19,C10,C17,C21,,,,,,,,,,,,,,,,,,,,
46,"001001-00-0088,10020,001,1)",C05,C16,C21,C09,C17,C18,C02,,,,,,,,,,,,,,,,,,
47,"001001-00-0089,10022,001,1)",C23,C05,C21,C09,C03,,,,,,,,,,,,,,,,,,,,
48,"001001-00-0091,10000,001,1)",C08,C03,C19,C05,,,,,,,,,,,,,,,,,,,,,
49,"001001-00-0092,10005,001,1)",C02,C05,C03,,,,,,,,,,,,,,,,,,,,,,
50,"001001-00-0093,10007,001,1)",C05,C21,C02,,,,,,,,,,,,,,,,,,,,,,
51,"001001-00-0095,10004,001,1)",C10,C04,C03,C17,C18,C16,C23,,,,,,,,,,,,,,,,,,
52,"001001-00-0098,10023,001,1)",C08,C16,C04,C21,C18,,,,,,,,,,,,,,,,,,,,
53,"001001-00-0100,10002,001,1)",C03,C05,C21,C23,C17,C08,C02,C04,C01,,,,,,,,,,,,,,,,
54,"001001-00-0101,10003,001,1)",C03,C06,C21,C05,C08,C01,C04,C07,C19,,,,,,,,,,,,,,,,
55,"001001-00-0103,10021,001,1)",C14,C09,C15,C12,C02,C23,C22,C19,C18,C21,,,,,,,,,,,,,,,
56,"001001-00-0105,10013,001,1)",C11,C07,C03,C02,C09,C23,C12,C06,,,,,,,,,,,,,,,,,
57,"001001-00-0107,10011,001,1)",C02,C21,C05,C11,C18,C23,,,,,,,,,,,,,,,,,,,
58,"001001-00-0110,10012,001,1)",C03,C20,C22,C19,C08,C16,C15,C23,C04,C18,,,,,,,,,,,,,,,
59,"001001-00-0112,10002,001,1)",C03,C04,C06,,,,,,,,,,,,,,,,,,,,,,
60,"001001-00-0113,10002,001,1)",C01,C05,C10,C18,C21,C22,,,,,,,,,,,,,,,,,,,
61,"001001-00-0115,10004,001,1)",C05,C08,C16,,,,,,,,,,,,,,,,,,,,,,
62,"001001-00-0117,10006,001,1)",C19,C03,C08,,,,,,,,,,,,,,,,,,,,,,
63,"001001-00-0119,10004,001,1)",C05,C08,,,,,,,,,,,,,,,,,,,,,,,
64,"001001-00-0121,10010,001,1)",C03,C05,C21,,,,,,,,,,,,,,,,,,,,,,
65,"001001-00-0124,10011,001,1)",C17,C10,C03,C05,,,,,,,,,,,,,,,,,,,,,
66,"001001-00-0125,10000,001,1)",C03,C05,C08,C16,,,,,,,,,,,,,,,,,,,,,
67,"001001-00-0128,10002,001,1)",C15,,,,,,,,,,,,,,,,,,,,,,,,
68,"001001-00-0129,10001,001,1)",C16,C18,C03,C21,C17,C11,C10,,,,,,,,,,,,,,,,,,
69,"001001-00-0131,10009,001,1)",C05,C02,C04,C09,C21,C23,C19,,,,,,,,,,,,,,,,,,
70,"001001-00-0134,10001,001,1)",C03,C21,,,,,,,,,,,,,,,,,,,,,,,
71,"001001-00-0135,10007,001,1)",C05,C10,C03,C16,,,,,,,,,,,,,,,,,,,,,
72,"001001-00-0137,10008,001,1)",C20,C21,C03,,,,,,,,,,,,,,,,,,,,,,
73,"001001-00-0138,10003,001,1)",C19,C10,C04,C21,C02,C03,,,,,,,,,,,,,,,,,,,
74,"001001-00-0140,10023,001,1)",C20,,,,,,,,,,,,,,,,,,,,,,,,
75,"001001-00-0143,10000,001,1)",C05,C08,C21,,,,,,,,,,,,,,,,,,,,,,
76,"001001-00-0145,10024,001,1)",C20,,,,,,,,,,,,,,,,,,,,,,,,
77,"001001-00-0147,10020,001,1)",C02,C10,C21,C20,C19,,,,,,,,,,,,,,,,,,,,
78,"001001-00-0149,10021,001,1)",C18,C10,C21,C17,,,,,,,,,,,,,,,,,,,,,
79,"001001-00-0151,10019,001,1)",C02,C21,C19,C04,C03,C01,C17,C05,C09,,,,,,,,,,,,,,,,
80,"001001-00-0153,10020,001,1)",C03,C10,C05,C21,C04,C02,C09,C01,C18,C16,C17,C19,C20,C23,C06,C22,C11,C14,C07,C25,C08,C12,C24,C13,C15
81,"001001-00-0156,10013,001,1)",C17,C19,C18,C08,C03,C02,,,,,,,,,,,,,,,,,,,
82,"001001-00-0158,10015,001,1)",C03,C10,C05,C18,C17,C08,C21,C20,C19,C16,C04,,,,,,,,,,,,,,
83,"001001-00-0159,10018,001,1)",C21,C18,C03,C19,C05,C16,C10,,,,,,,,,,,,,,,,,,
84,"001001-00-0161,10017,001,1)",C20,C05,,,,,,,,,,,,,,,,,,,,,,,
85,"001001-00-0163,10008,001,1)",C18,C05,C03,C17,C10,C20,C21,,,,,,,,,,,,,,,,,,
86,"001001-00-0167,10015,001,1)",C25,C04,C05,C21,C17,,,,,,,,,,,,,,,,,,,,
87,"001001-00-0168,10014,001,1)",C04,C17,C03,C08,C16,,,,,,,,,,,,,,,,,,,,
88,"001001-00-0171,10016,001,1)",C05,C01,C09,C21,C11,C07,C17,C02,,,,,,,,,,,,,,,,,
89,"001001-00-0172,10010,001,1)",C23,C05,C02,C19,C09,,,,,,,,,,,,,,,,,,,,
90,"001001-00-0174,10001,001,1)",C02,C17,C09,C04,C03,C16,C18,C05,C08,C23,,,,,,,,,,,,,,,
91,"001001-00-0177,10001,001,1)",C05,C02,C04,C09,C21,C23,C19,,,,,,,,,,,,,,,,,,
92,"001001-00-0179,10020,001,1)",C08,C20,,,,,,,,,,,,,,,,,,,,,,,
93,"001001-00-0180,10022,001,1)",C03,C05,C08,C23,C12,C17,,,,,,,,,,,,,,,,,,,
94,"001001-00-0183,10024,001,1)",C01,C18,C16,C20,C03,C05,C07,C08,C10,C17,C23,C21,C25,C04,C06,C09,C11,C12,C13,,,,,,
95,"001001-00-0184,10021,001,1)",C05,,,,,,,,,,,,,,,,,,,,,,,,
96,"001001-00-0186,10019,001,1)",C05,C24,C22,C11,,,,,,,,,,,,,,,,,,,,,
97,"001001-00-0189,10018,001,1)",C16,C18,C10,C08,C20,C21,C03,,,,,,,,,,,,,,,,,,
98,"001001-00-0190,10019,001,1)",C02,C09,C01,C21,,,,,,,,,,,,,,,,,,,,,
99,"001001-00-0192,10017,001,1)",C05,C02,C09,C18,C03,C10,,,,,,,,,,,,,,,,,,,
100,"001001-00-0194,10014,001,1)",C19,C03,C23,C21,C05,C11,,,,,,,,,,,,,,,,,,,
101,"001001-00-0196,10004,001,1)",C19,C03,,,,,,,,,,,,,,,,,,,,,,,
102,"001001-00-0198,10015,001,1)",C07,C18,C08,C21,C20,C03,C05,C16,C19,,,,,,,,,,,,,,,,
103,"001001-00-0200,10010,001,1)",C03,C19,,,,,,,,,,,,,,,,,,,,,,,
104,"001001-00-0202,10003,001,1)",C05,C18,C03,C09,C16,C08,C20,C17,,,,,,,,,,,,,,,,,
105,"001001-00-0204,10008,001,1)",C01,C16,,,,,,,,,,,,,,,,,,,,,,,
106,"001001-00-0205,10011,001,1)",C02,C05,C08,,,,,,,,,,,,,,,,,,,,,,
107,"001001-00-0207,10005,001,1)",C10,C16,C18,,,,,,,,,,,,,,,,,,,,,,
108,"001001-00-0208,10007,001,1)",C19,C10,,,,,,,,,,,,,,,,,,,,,,,
109,"001001-00-0210,10021,001,1)",C23,C19,C09,C10,C05,C03,C01,C21,,,,,,,,,,,,,,,,,
110,"001001-00-0213,10009,001,1)",C17,C02,C05,C08,C19,C21,,,,,,,,,,,,,,,,,,,
111,"001001-00-0214,10012,001,1)",C05,C21,C01,C09,C17,C03,C12,C10,C08,C07,C04,C23,C22,C20,C16,C19,C15,,,,,,,,
112,"001001-00-0217,10004,001,1)",C05,C07,C23,,,,,,,,,,,,,,,,,,,,,,
113,"001001-00-0218,10002,001,1)",C14,C03,C21,C10,,,,,,,,,,,,,,,,,,,,,
114,"001001-00-0220,10001,001,1)",C08,C13,,,,,,,,,,,,,,,,,,,,,,,
115,"001001-00-0222,10003,001,1)",C19,C10,C05,C17,C23,C01,C03,C20,C11,C04,C06,C07,C08,C09,C12,C13,C02,C25,C24,C22,C21,C16,C15,,
116,"001001-00-0223,10006,001,1)",C05,C02,C17,C08,C21,C25,C03,C09,C10,C16,C20,C18,,,,,,,,,,,,,
117,"001001-00-0226,10000,001,1)",C05,C07,C17,,,,,,,,,,,,,,,,,,,,,,
118,"001001-00-0228,10005,001,1)",C09,C22,C10,C18,C12,C17,C21,C16,C05,C07,C01,C14,C19,C03,C04,C20,C06,C08,C23,C15,C13,C11,C02,C24,C25
119,"001001-00-0231,10023,001,1)",C05,C01,C08,C23,C10,,,,,,,,,,,,,,,,,,,,
120,"001001-00-0233,10020,001,1)",C09,C04,C21,C05,C22,C02,C08,C12,C07,C15,C23,C18,C03,C06,C11,C01,C20,C16,C19,C17,C14,C13,C10,C24,C25
121,"001001-00-0234,10018,001,1)",C10,C16,C03,,,,,,,,,,,,,,,,,,,,,,
122,"001001-00-0237,10019,001,1)",C16,C03,C10,C18,C23,,,,,,,,,,,,,,,,,,,,
123,"001001-00-0238,10023,001,1)",C08,,,,,,,,,,,,,,,,,,,,,,,,
124,"001001-00-0241,10024,001,1)",C08,,,,,,,,,,,,,,,,,,,,,,,,
125,"001001-00-0243,10022,001,1)",C17,C22,C06,C15,C04,C01,C02,,,,,,,,,,,,,,,,,,
126,"001001-00-0245,10021,001,1)",C23,C05,C21,C03,C01,C16,C17,C18,,,,,,,,,,,,,,,,,
127,"001001-00-0246,10006,001,1)",C07,,,,,,,,,,,,,,,,,,,,,,,,
128,"001001-00-0248,10001,001,1)",C23,C18,C10,,,,,,,,,,,,,,,,,,,,,,
129,"001001-00-0250,10005,001,1)",C08,C03,C09,C12,C15,C22,C01,C07,,,,,,,,,,,,,,,,,
130,"001001-00-0252,10004,001,1)",C03,C08,C16,C21,C22,C18,C09,C10,C17,C11,,,,,,,,,,,,,,,
131,"001001-00-0254,10018,001,1)",C23,C10,,,,,,,,,,,,,,,,,,,,,,,
132,"001001-00-0255,10003,001,1)",C22,C08,C01,C03,C17,C02,C09,C04,C18,C05,C19,C21,C20,C23,C16,C06,C11,C14,C12,C24,C25,C15,C13,C07,C10
133,"001001-00-0258,10002,001,1)",C22,C08,C01,C03,C17,C02,C09,C04,C18,C05,C19,C07,C23,C21,C20,C16,C06,C11,C14,C12,C24,C25,C15,C13,C10
134,"001001-00-0260,10000,001,1)",C05,C23,C12,C11,C15,,,,,,,,,,,,,,,,,,,,
135,"001001-00-0261,10014,001,1)",C19,C09,,,,,,,,,,,,,,,,,,,,,,,
136,"001001-00-0263,10024,001,1)",C03,C18,C19,C17,,,,,,,,,,,,,,,,,,,,,
137,"001001-00-0266,10006,001,1)",C18,C10,C05,C17,C03,C16,C01,C20,C22,,,,,,,,,,,,,,,,
138,"001001-00-0267,10017,001,1)",C02,C08,C05,C18,,,,,,,,,,,,,,,,,,,,,
139,"001001-00-0269,10015,001,1)",C02,C08,C05,C18,,,,,,,,,,,,,,,,,,,,,
140,"001001-00-0271,10023,001,1)",C08,C10,C18,,,,,,,,,,,,,,,,,,,,,,
141,"001001-00-0273,10007,001,1)",C08,C16,C18,C23,,,,,,,,,,,,,,,,,,,,,
142,"001001-00-0275,10006,001,1)",C02,C17,C05,C19,C08,C21,,,,,,,,,,,,,,,,,,,
143,"001001-00-0276,10004,001,1)",C09,C03,,,,,,,,,,,,,,,,,,,,,,,
144,"001001-00-0279,10005,001,1)",C05,C17,C04,C03,,,,,,,,,,,,,,,,,,,,,
145,"001001-00-0280,10011,001,1)",C05,C23,C18,C21,C01,C16,C22,,,,,,,,,,,,,,,,,,
146,"001001-00-0283,10010,001,1)",C05,C21,C04,C03,C10,C16,C07,C20,C01,,,,,,,,,,,,,,,,
147,"001001-00-0284,10014,001,1)",C03,C23,C06,C17,,,,,,,,,,,,,,,,,,,,,
148,"001001-00-0286,10013,001,1)",C03,C08,C10,C05,C01,C23,C19,C18,,,,,,,,,,,,,,,,,
149,"001001-00-0288,10015,001,1)",C05,C21,C18,C17,C10,C03,C23,C04,C16,,,,,,,,,,,,,,,,
150,"001001-00-0290,10009,001,1)",C23,C21,C05,C03,C15,C18,C19,C25,C10,C08,C11,C12,C13,C14,C16,C17,C20,C22,C24,C01,C02,C04,C06,C07,C09
151,"001001-00-0293,10012,001,1)",C18,C16,C20,C23,,,,,,,,,,,,,,,,,,,,,
152,"001001-00-0294,10024,001,1)",C07,,,,,,,,,,,,,,,,,,,,,,,,
153,"001001-00-0295,10021,001,1)",C02,C05,C08,C18,C03,,,,,,,,,,,,,,,,,,,,
154,"001001-00-0297,10007,001,1)",C22,C24,C14,C25,C01,C07,C04,C15,C17,C12,C13,C11,C10,C06,C23,C03,C09,C08,C02,C18,C21,C20,C16,C05,C19
155,"001001-00-0299,10018,001,1)",C10,C05,C01,C12,C09,C19,C21,,,,,,,,,,,,,,,,,,
156,"001001-00-0300,10019,001,1)",C01,C10,C19,C17,C18,C06,,,,,,,,,,,,,,,,,,,
157,"001001-00-0302,10017,001,1)",C01,C10,C19,C17,C18,C22,C06,,,,,,,,,,,,,,,,,,
158,"001001-00-0305,10003,001,1)",C23,C05,C21,C09,,,,,,,,,,,,,,,,,,,,,
159,"001001-00-0307,10008,001,1)",C21,C03,C05,C10,C16,C18,C08,,,,,,,,,,,,,,,,,,
160,"001001-00-0308,10018,001,1)",C08,C07,,,,,,,,,,,,,,,,,,,,,,,
161,"001001-00-0310,10022,001,1)",C08,C07,,,,,,,,,,,,,,,,,,,,,,,
162,"001001-00-0313,10016,001,1)",C10,C01,C12,C09,C19,C05,C21,C17,,,,,,,,,,,,,,,,,
163,"001001-00-0315,10001,001,1)",C03,C05,C08,C09,C12,C04,C18,C16,C02,C07,C21,,,,,,,,,,,,,,
164,"001001-00-0317,10002,001,1)",C08,C20,C10,C18,C19,C01,C05,,,,,,,,,,,,,,,,,,
165,"001001-00-0319,10020,001,1)",C03,C05,C10,,,,,,,,,,,,,,,,,,,,,,
166,"001001-00-0321,10000,001,1)",C05,C08,,,,,,,,,,,,,,,,,,,,,,,
167,"001001-00-0324,10000,001,1)",C21,C03,C05,C20,C08,C19,C16,C18,,,,,,,,,,,,,,,,,
168,"001001-00-0325,10009,001,1)",C03,C23,C21,C05,C18,C16,C02,C09,C08,,,,,,,,,,,,,,,,
169,"001001-00-0327,10007,001,1)",C18,C08,C09,C12,C13,C15,C17,C20,C22,C03,C06,C07,C05,C04,C24,C25,C01,C02,C19,C16,C14,C11,C10,C23,C21
170,"001001-00-0329,10017,001,1)",C04,C18,C20,C08,C17,C16,C05,C21,C03,,,,,,,,,,,,,,,,
171,"001001-00-0330,10011,001,1)",C03,C04,C17,C18,C21,,,,,,,,,,,,,,,,,,,,
172,"001001-00-0332,10012,001,1)",C19,C23,C21,C10,C05,C18,C03,,,,,,,,,,,,,,,,,,
173,"001001-00-0334,10013,001,1)",C23,C19,C21,C05,C10,,,,,,,,,,,,,,,,,,,,
174,"001001-00-0336,10016,001,1)",C23,C19,C05,C22,C21,C18,C03,C01,C02,C08,C10,C09,,,,,,,,,,,,,
175,"001001-00-0338,10012,001,1)",C08,C22,C03,C18,C16,,,,,,,,,,,,,,,,,,,,
176,"001001-00-0340,10015,001,1)",C05,C04,C02,C09,C21,C18,C16,,,,,,,,,,,,,,,,,,
177,"001001-00-0342,10000,001,1)",C08,C21,,,,,,,,,,,,,,,,,,,,,,,
178,"001001-00-0344,10000,001,1)",C08,C20,C17,C13,,,,,,,,,,,,,,,,,,,,,
179,"001001-00-0346,10011,001,1)",C05,C25,C02,C18,C19,C23,C03,C21,C16,C08,C20,,,,,,,,,,,,,,
180,"001001-00-0348,10008,001,1)",C10,C05,C17,,,,,,,,,,,,,,,,,,,,,,
181,"001001-00-0350,10000,001,1)",C05,C20,C08,,,,,,,,,,,,,,,,,,,,,,
182,"001001-00-0352,10000,001,1)",C05,C09,C01,C23,C14,C22,C07,C10,C04,,,,,,,,,,,,,,,,
183,"001001-00-0354,10006,001,1)",C10,C03,C21,C17,C05,C19,,,,,,,,,,,,,,,,,,,
184,"001001-00-0356,10007,001,1)",C09,C17,C18,C02,C16,,,,,,,,,,,,,,,,,,,,
185,"001001-00-0358,10014,001,1)",C01,C05,C04,C03,C19,,,,,,,,,,,,,,,,,,,,
186,"001001-00-0360,10000,001,1)",C05,C03,C21,C09,C17,C04,,,,,,,,,,,,,,,,,,,
187,"001001-00-0362,10005,001,1)",C05,C19,C17,,,,,,,,,,,,,,,,,,,,,,
188,"001001-00-0364,10000,001,1)",C17,C02,C05,C20,C08,C03,,,,,,,,,,,,,,,,,,,
189,"001001-00-0367,10000,001,1)",C16,C18,C20,C08,C03,,,,,,,,,,,,,,,,,,,,
190,"001001-00-0369,10000,001,1)",C03,C05,C17,C10,C21,,,,,,,,,,,,,,,,,,,,
191,"001001-00-0371,10000,001,1)",C08,C05,C20,C01,C10,,,,,,,,,,,,,,,,,,,,
192,"001001-00-0373,10000,001,1)",C08,C20,C16,,,,,,,,,,,,,,,,,,,,,,
193,"001001-00-0375,10009,001,1)",C05,C09,C03,C21,C18,C23,,,,,,,,,,,,,,,,,,,
194,"001001-00-0377,10000,001,1)",C03,C08,C21,C02,C05,C19,C01,C23,C17,,,,,,,,,,,,,,,,
195,"001001-00-0379,10000,001,1)",C03,C19,C18,C08,C21,C17,C05,C16,,,,,,,,,,,,,,,,,
196,"001001-00-0381,10000,001,1)",C05,C18,C08,C16,C21,C10,,,,,,,,,,,,,,,,,,,
197,"001001-00-0383,10000,001,1)",C18,C22,C03,C15,C16,C21,C20,C08,C05,,,,,,,,,,,,,,,,
198,"001001-00-0385,10013,001,1)",C07,,,,,,,,,,,,,,,,,,,,,,,,
199,"001001-00-0388,10004,001,1)",C16,C01,C18,C03,,,,,,,,,,,,,,,,,,,,,
200,"001001-00-0389,10000,001,1)",C23,C18,C05,C03,C04,C08,C16,C20,C21,C25,C01,,,,,,,,,,,,,,
201,"001001-00-0391,10000,001,1)",C08,C05,C03,C16,C20,C18,,,,,,,,,,,,,,,,,,,
202,"001001-00-0393,10000,001,1)",C16,C18,C10,C08,C20,C21,C03,C05,,,,,,,,,,,,,,,,,
203,"001001-00-0395,10008,001,1)",C16,C18,C08,C22,C20,C25,,,,,,,,,,,,,,,,,,,
204,"001001-00-0396,10003,001,1)",C03,C10,C08,C21,C09,C18,C17,C20,C23,C19,,,,,,,,,,,,,,,
205,"001001-00-0399,10004,001,1)",C01,C19,C03,C06,C04,,,,,,,,,,,,,,,,,,,,
206,"001001-00-0401,10008,001,1)",C02,C17,,,,,,,,,,,,,,,,,,,,,,,
207,"001001-00-0403,10005,001,1)",C05,C07,C18,C19,C20,C03,C02,,,,,,,,,,,,,,,,,,
208,"001001-00-0404,10006,001,1)",C05,C23,C10,C18,C04,C02,C09,C14,C01,,,,,,,,,,,,,,,,
209,"001001-00-0406,10002,001,1)",C01,C24,C08,C13,C05,C18,,,,,,,,,,,,,,,,,,,
210,"001001-00-0408,10003,001,1)",C03,C05,C17,C19,C08,C21,C23,C07,,,,,,,,,,,,,,,,,
211,"001001-00-0410,10001,001,1)",C17,C03,C10,C02,C08,C05,,,,,,,,,,,,,,,,,,,
212,"001001-00-0412,10020,001,1)",C18,C23,C03,C19,C08,C05,C10,C17,,,,,,,,,,,,,,,,,
213,"001001-00-0414,10019,001,1)",C11,C02,C05,C21,C03,C18,C06,C24,C17,,,,,,,,,,,,,,,,
214,"001001-00-0416,10018,001,1)",C03,C10,C05,C18,C17,C08,C21,,,,,,,,,,,,,,,,,,
215,"001001-00-0419,10023,001,1)",C02,C17,C05,C19,C08,C21,,,,,,,,,,,,,,,,,,,
216,"001001-00-0421,10024,001,1)",C16,C18,C07,C03,C02,C12,C19,C10,C22,,,,,,,,,,,,,,,,
217,"001001-00-0422,10022,001,1)",C10,C16,,,,,,,,,,,,,,,,,,,,,,,
218,"001001-00-0425,10014,001,1)",C05,C23,C01,,,,,,,,,,,,,,,,,,,,,,
219,"001001-00-0427,10020,001,1)",C10,C08,C17,C18,C19,C20,C21,C03,,,,,,,,,,,,,,,,,
220,"001001-00-0428,10013,001,1)",C03,C08,C18,C05,C17,C20,C16,C21,C07,,,,,,,,,,,,,,,,
221,"001001-00-0429,10010,001,1)",C02,C05,C23,C22,C21,C19,C17,,,,,,,,,,,,,,,,,,
222,"001001-00-0430,10012,001,1)",C17,C09,C21,C05,C04,C02,,,,,,,,,,,,,,,,,,,
223,"001001-00-0433,10019,001,1)",C01,C08,C10,C11,C14,C15,C19,C23,,,,,,,,,,,,,,,,,
224,"001001-00-0436,10001,001,1)",C09,C05,C22,,,,,,,,,,,,,,,,,,,,,,
225,"001001-00-0438,10015,001,1)",C08,C21,C16,C10,,,,,,,,,,,,,,,,,,,,,
226,"001001-00-0439,10000,001,1)",C21,C09,C01,C04,C10,C05,C18,C03,C17,,,,,,,,,,,,,,,,
227,"001001-00-0443,10003,001,1)",C09,C02,C03,C04,C25,,,,,,,,,,,,,,,,,,,,
228,"001001-00-0445,10024,001,1)",C02,C05,,,,,,,,,,,,,,,,,,,,,,,
229,"001001-00-0447,10004,001,1)",C05,C17,C03,C12,C23,,,,,,,,,,,,,,,,,,,,
230,"001001-00-0448,10016,001,1)",C02,C05,C08,,,,,,,,,,,,,,,,,,,,,,
231,"001001-00-0451,10016,001,1)",C03,C21,C08,C19,,,,,,,,,,,,,,,,,,,,,
232,"001001-00-0453,10002,001,1)",C03,C21,C16,C05,C17,C18,C20,C08,C23,C12,C01,,,,,,,,,,,,,,
233,"001001-00-0455,10018,001,1)",C23,C04,C21,C19,C05,C03,C02,C18,C09,,,,,,,,,,,,,,,,
234,"001001-00-0456,10015,001,1)",C11,C02,C01,C07,C04,C22,C24,C09,C05,,,,,,,,,,,,,,,,
235,"001001-00-0457,10014,001,1)",C11,C02,C01,C07,C04,C22,C24,C09,C05,C25,C06,,,,,,,,,,,,,,
236,"001001-00-0460,10017,001,1)",C23,C04,C25,,,,,,,,,,,,,,,,,,,,,,
237,"001001-00-0462,10006,001,1)",C08,C15,C18,C03,C05,,,,,,,,,,,,,,,,,,,,
238,"001001-00-0464,10011,001,1)",C18,C03,C04,C05,C20,C16,,,,,,,,,,,,,,,,,,,
